Date,Clicks,Impressions,CTR,Position
2026-06-24,100,7772,1.29%,9.3
2026-06-25,84,7551,1.11%,9.5
2026-06-26,97,6955,1.39%,10.6
2026-06-27,42,4689,0.9%,11.2
2026-06-28,59,5738,1.03%,10.8
2026-06-29,136,10919,1.25%,9.5
2026-06-30,126,10996,1.15%,8.6
2026-07-01,118,10055,1.17%,8.2
2026-07-02,116,9497,1.22%,8.4
2026-07-03,83,8443,0.98%,9.4
2026-07-04,58,5447,1.06%,9.7
2026-07-05,74,5909,1.25%,9.7
2026-07-06,124,10874,1.14%,8.7
2026-07-07,130,11409,1.14%,8.6
2026-07-08,97,10041,0.97%,8.3
2026-07-09,108,9776,1.1%,8.4
2026-07-10,103,8450,1.22%,8.7
2026-07-11,66,5362,1.23%,9.9
2026-07-12,76,5649,1.35%,10.8
2026-07-13,138,10286,1.34%,8.8
2026-07-14,127,10210,1.24%,8.1
2026-07-15,112,9831,1.14%,8.4
2026-07-16,103,9162,1.12%,8
2026-07-17,84,8303,1.01%,8.3
2026-07-18,48,5044,0.95%,10.1
2026-07-19,74,5102,1.45%,9.2
2026-07-20,120,10400,1.15%,8.9
2026-07-21,121,11042,1.1%,9.2
