Country,Clicks,Impressions,CTR,Position
United Kingdom,2454,191023,1.28%,9.28
France,25,656,3.81%,7.3
United States,18,13564,0.13%,8.11
Spain,14,1218,1.15%,7.07
Kenya,14,367,3.81%,7.49
Ireland,11,747,1.47%,6.36
Australia,11,607,1.81%,7.59
Germany,9,4882,0.18%,7.19
Nigeria,9,404,2.23%,7.4
India,8,1082,0.74%,9.6
Canada,8,827,0.97%,7.22
South Africa,8,426,1.88%,7.35
Hong Kong,8,422,1.9%,6.58
Netherlands,6,6016,0.1%,7.11
Italy,6,989,0.61%,7.79
Portugal,6,322,1.86%,7.34
Greece,6,277,2.17%,6.32
Switzerland,6,257,2.33%,6.76
United Arab Emirates,5,487,1.03%,5.66
Malaysia,5,271,1.85%,8.24
Cyprus,4,165,2.42%,6.61
Czechia,4,87,4.6%,7.01
Zambia,4,71,5.63%,5.99
Philippines,3,400,0.75%,10.63
Thailand,3,337,0.89%,6.73
Pakistan,3,311,0.96%,9.97
Turkey,3,306,0.98%,7.42
Singapore,3,275,1.09%,6.79
Uganda,3,130,2.31%,6.42
Croatia,3,44,6.82%,8.41
Vietnam,2,801,0.25%,14.64
Poland,2,309,0.65%,6.76
Indonesia,2,238,0.84%,12.99
Japan,2,219,0.91%,6.93
Saudi Arabia,2,172,1.16%,6.9
New Zealand,2,169,1.18%,7.17
Romania,2,151,1.32%,8.11
Finland,2,79,2.53%,4.11
Jersey,2,60,3.33%,5.92
Bosnia & Herzegovina,2,15,13.33%,7.53
St. Helena,2,10,20%,4.5
Argentina,1,179,0.56%,8.41
Colombia,1,175,0.57%,11.04
Bangladesh,1,165,0.61%,12.44
Belgium,1,156,0.64%,6.29
Sweden,1,138,0.72%,7.86
Morocco,1,131,0.76%,11.88
South Korea,1,127,0.79%,8.95
Israel,1,122,0.82%,7.5
Qatar,1,96,1.04%,5.12
Ghana,1,80,1.25%,6.79
Sri Lanka,1,74,1.35%,5.84
Albania,1,74,1.35%,6.46
Isle of Man,1,69,1.45%,4.91
Peru,1,65,1.54%,9.63
Austria,1,62,1.61%,7.66
Malta,1,57,1.75%,7.19
Serbia,1,47,2.13%,5.6
Jordan,1,46,2.17%,8.24
Dominican Republic,1,45,2.22%,10.02
Zimbabwe,1,43,2.33%,6
Tunisia,1,37,2.7%,7.19
Cambodia,1,35,2.86%,10.34
Botswana,1,30,3.33%,7.13
Kazakhstan,1,29,3.45%,9.72
Bermuda,1,26,3.85%,7.15
Georgia,1,25,4%,6.68
Antigua & Barbuda,1,20,5%,3.1
Barbados,1,19,5.26%,6.16
Mauritius,1,17,5.88%,7.35
Montenegro,1,16,6.25%,6.31
Bahrain,1,14,7.14%,7.07
Fiji,1,8,12.5%,15
Brazil,0,523,0%,9.17
Mexico,0,273,0%,12.06
Russia,0,171,0%,8.49
China,0,159,0%,7.31
