"slug","status","canonical_slug","jurisdictions","summaryLength","wordCount","failures","robots","sitemapIncluded","indexabilityStatus","indexabilityLabel","indexabilityDetails","primaryBlockReasons","dataSource"
"how-to-serve-section-21-notice-england","review","","england","108","1020","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"section-21-validity-checklist-form-6a","review","","england","83","1019","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"section-21-accelerated-possession-n5b-guide","review","","england","82","1020","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"when-to-use-section-8-form-3-grounds","review","","england","91","1023","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"section-8-ground-8-mandatory-arrears","review","","england","78","1005","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"section-8-ground-10-11-discretionary-arrears","review","","england","71","1004","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"section-8-notice-periods-england-2025","review","","england","78","1018","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"section-21-after-fixed-term-periodic","review","","england","71","1024","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"accelerated-possession-timetable-england","review","","england","80","1017","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
"defended-possession-claim-s8-s21","review","","england","80","1017","status: Question status is 'review', must be 'approved' for indexing","noindex, follow","false","blocked","Status: review","Question must be approved before indexing","status: review","sql-seed"
