route,viewport,width,file,full_page
/tools/hmo-license-checker,mobile,390,screenshots/tools-hmo-license-checker-mobile.png,yes
/tools/hmo-license-checker,tablet,768,screenshots/tools-hmo-license-checker-tablet.png,yes
/tools/hmo-license-checker,desktop,1440,screenshots/tools-hmo-license-checker-desktop.png,yes
/tools/rent-arrears-calculator,mobile,390,screenshots/tools-rent-arrears-calculator-mobile.png,yes
/tools/rent-arrears-calculator,tablet,768,screenshots/tools-rent-arrears-calculator-tablet.png,yes
/tools/rent-arrears-calculator,desktop,1440,screenshots/tools-rent-arrears-calculator-desktop.png,yes
/form-3-section-8,mobile,390,screenshots/form-3-section-8-mobile.png,yes
/form-3-section-8,tablet,768,screenshots/form-3-section-8-tablet.png,yes
/form-3-section-8,desktop,1440,screenshots/form-3-section-8-desktop.png,yes
/eviction-cost-uk,mobile,390,screenshots/eviction-cost-uk-mobile.png,yes
/eviction-cost-uk,tablet,768,screenshots/eviction-cost-uk-tablet.png,yes
/eviction-cost-uk,desktop,1440,screenshots/eviction-cost-uk-desktop.png,yes
/how-to-rent-guide,mobile,390,screenshots/how-to-rent-guide-mobile.png,yes
/how-to-rent-guide,tablet,768,screenshots/how-to-rent-guide-tablet.png,yes
/how-to-rent-guide,desktop,1440,screenshots/how-to-rent-guide-desktop.png,yes
/n5-n119-possession-claim,mobile,390,screenshots/n5-n119-possession-claim-mobile.png,yes
/n5-n119-possession-claim,tablet,768,screenshots/n5-n119-possession-claim-tablet.png,yes
/n5-n119-possession-claim,desktop,1440,screenshots/n5-n119-possession-claim-desktop.png,yes
/money-claim-carpet-damage,mobile,390,screenshots/money-claim-carpet-damage-mobile.png,yes
/money-claim-carpet-damage,tablet,768,screenshots/money-claim-carpet-damage-tablet.png,yes
/money-claim-carpet-damage,desktop,1440,screenshots/money-claim-carpet-damage-desktop.png,yes
/section-8-grounds/how-to-evict-a-tenant-using-ground-1a,mobile,390,screenshots/section-8-grounds-how-to-evict-a-tenant-using-ground-1a-mobile.png,yes
/section-8-grounds/how-to-evict-a-tenant-using-ground-1a,tablet,768,screenshots/section-8-grounds-how-to-evict-a-tenant-using-ground-1a-tablet.png,yes
/section-8-grounds/how-to-evict-a-tenant-using-ground-1a,desktop,1440,screenshots/section-8-grounds-how-to-evict-a-tenant-using-ground-1a-desktop.png,yes
/blog/how-to-write-letter-before-action-unpaid-rent,mobile,390,screenshots/blog-how-to-write-letter-before-action-unpaid-rent-mobile.png,yes
/blog/how-to-write-letter-before-action-unpaid-rent,tablet,768,screenshots/blog-how-to-write-letter-before-action-unpaid-rent-tablet.png,yes
/blog/how-to-write-letter-before-action-unpaid-rent,desktop,1440,screenshots/blog-how-to-write-letter-before-action-unpaid-rent-desktop.png,yes
/blog/england-bailiff-eviction,mobile,390,screenshots/blog-england-bailiff-eviction-mobile.png,yes
/blog/england-bailiff-eviction,tablet,768,screenshots/blog-england-bailiff-eviction-tablet.png,yes
/blog/england-bailiff-eviction,desktop,1440,screenshots/blog-england-bailiff-eviction-desktop.png,yes
/blog/england-section-8-ground-1,mobile,390,screenshots/blog-england-section-8-ground-1-mobile.png,yes
/blog/england-section-8-ground-1,tablet,768,screenshots/blog-england-section-8-ground-1-tablet.png,yes
/blog/england-section-8-ground-1,desktop,1440,screenshots/blog-england-section-8-ground-1-desktop.png,yes
/blog/england-county-court-forms,mobile,390,screenshots/blog-england-county-court-forms-mobile.png,yes
/blog/england-county-court-forms,tablet,768,screenshots/blog-england-county-court-forms-tablet.png,yes
/blog/england-county-court-forms,desktop,1440,screenshots/blog-england-county-court-forms-desktop.png,yes
/blog/how-long-does-eviction-take-uk,mobile,390,screenshots/blog-how-long-does-eviction-take-uk-mobile.png,yes
/blog/how-long-does-eviction-take-uk,tablet,768,screenshots/blog-how-long-does-eviction-take-uk-tablet.png,yes
/blog/how-long-does-eviction-take-uk,desktop,1440,screenshots/blog-how-long-does-eviction-take-uk-desktop.png,yes
/blog/england-section-8-ground-10-11,mobile,390,screenshots/blog-england-section-8-ground-10-11-mobile.png,yes
/blog/england-section-8-ground-10-11,tablet,768,screenshots/blog-england-section-8-ground-10-11-tablet.png,yes
/blog/england-section-8-ground-10-11,desktop,1440,screenshots/blog-england-section-8-ground-10-11-desktop.png,yes
/blog/england-money-claim-online,mobile,390,screenshots/blog-england-money-claim-online-mobile.png,yes
/blog/england-money-claim-online,tablet,768,screenshots/blog-england-money-claim-online-tablet.png,yes
/blog/england-money-claim-online,desktop,1440,screenshots/blog-england-money-claim-online-desktop.png,yes
/blog/england-section-8-ground-14,mobile,390,screenshots/blog-england-section-8-ground-14-mobile.png,yes
/blog/england-section-8-ground-14,tablet,768,screenshots/blog-england-section-8-ground-14-tablet.png,yes
/blog/england-section-8-ground-14,desktop,1440,screenshots/blog-england-section-8-ground-14-desktop.png,yes
/blog/england-section-8-ground-12,mobile,390,screenshots/blog-england-section-8-ground-12-mobile.png,yes
/blog/england-section-8-ground-12,tablet,768,screenshots/blog-england-section-8-ground-12-tablet.png,yes
/blog/england-section-8-ground-12,desktop,1440,screenshots/blog-england-section-8-ground-12-desktop.png,yes
/blog/uk-guarantor-agreements-guide,mobile,390,screenshots/blog-uk-guarantor-agreements-guide-mobile.png,yes
/blog/uk-guarantor-agreements-guide,tablet,768,screenshots/blog-uk-guarantor-agreements-guide-tablet.png,yes
/blog/uk-guarantor-agreements-guide,desktop,1440,screenshots/blog-uk-guarantor-agreements-guide-desktop.png,yes
/blog/how-to-serve-eviction-notice,mobile,390,screenshots/blog-how-to-serve-eviction-notice-mobile.png,yes
/blog/how-to-serve-eviction-notice,tablet,768,screenshots/blog-how-to-serve-eviction-notice-tablet.png,yes
/blog/how-to-serve-eviction-notice,desktop,1440,screenshots/blog-how-to-serve-eviction-notice-desktop.png,yes
/products/notice-only,mobile,390,screenshots/products-notice-only-mobile.png,yes
/products/notice-only,tablet,768,screenshots/products-notice-only-tablet.png,yes
