route,httpStatus,redirectChainLength,finalDestination,redirectChain,defect,finalStatus
/,200,0,/,200 http://127.0.0.1:5102/,,PASS
/pricing,200,0,/pricing,200 http://127.0.0.1:5102/pricing,,PASS
/products/notice-only,200,0,/products/notice-only,200 http://127.0.0.1:5102/products/notice-only,,PASS
/products/complete-pack,200,0,/products/complete-pack,200 http://127.0.0.1:5102/products/complete-pack,,PASS
/products/money-claim,200,0,/products/money-claim,200 http://127.0.0.1:5102/products/money-claim,,PASS
/products/ast,200,0,/products/ast,200 http://127.0.0.1:5102/products/ast,,PASS
/products/section-13-standard,200,0,/products/section-13-standard,200 http://127.0.0.1:5102/products/section-13-standard,,PASS
/products/section-13-defence,200,0,/products/section-13-defence,200 http://127.0.0.1:5102/products/section-13-defence,,PASS
/standard-tenancy-agreement,200,0,/standard-tenancy-agreement,200 http://127.0.0.1:5102/standard-tenancy-agreement,,PASS
/premium-tenancy-agreement,200,0,/premium-tenancy-agreement,200 http://127.0.0.1:5102/premium-tenancy-agreement,,PASS
/student-tenancy-agreement,200,0,/student-tenancy-agreement,200 http://127.0.0.1:5102/student-tenancy-agreement,,PASS
/hmo-shared-house-tenancy-agreement,200,0,/hmo-shared-house-tenancy-agreement,200 http://127.0.0.1:5102/hmo-shared-house-tenancy-agreement,,PASS
/lodger-agreement,200,0,/lodger-agreement,200 http://127.0.0.1:5102/lodger-agreement,,PASS
/tools,200,0,/tools,200 http://127.0.0.1:5102/tools,,PASS
/tools/hmo-license-checker,200,0,/tools/hmo-license-checker,200 http://127.0.0.1:5102/tools/hmo-license-checker,,PASS
/tools/rent-arrears-calculator,200,0,/tools/rent-arrears-calculator,200 http://127.0.0.1:5102/tools/rent-arrears-calculator,,PASS
/tools/rent-increase-challenge-checker,200,0,/tools/rent-increase-challenge-checker,200 http://127.0.0.1:5102/tools/rent-increase-challenge-checker,,PASS
/assisted-prep,200,0,/assisted-prep,200 http://127.0.0.1:5102/assisted-prep,,PASS
/section-8-notice-assisted-prep,200,0,/section-8-notice-assisted-prep,200 http://127.0.0.1:5102/section-8-notice-assisted-prep,,PASS
/money-claim-assisted-prep,200,0,/money-claim-assisted-prep,200 http://127.0.0.1:5102/money-claim-assisted-prep,,PASS
/possession-claim-assisted-prep,200,0,/possession-claim-assisted-prep,200 http://127.0.0.1:5102/possession-claim-assisted-prep,,PASS
/landlord-documents-england,200,0,/landlord-documents-england,200 http://127.0.0.1:5102/landlord-documents-england,,PASS
/samples,200,0,/samples,200 http://127.0.0.1:5102/samples,,PASS
/compare/section-8-stage-1-vs-stage-2,200,0,/compare/section-8-stage-1-vs-stage-2,200 http://127.0.0.1:5102/compare/section-8-stage-1-vs-stage-2,,PASS
