route,viewport,source,http_result,complete_state,natural_width,natural_height,lazy_load_state,rendered_width,rendered_height,result
/products/notice-only,mobile,https://landlordheaven.co.uk/_next/image?url=%2Fimages%2Flogo.png&w=256&q=75,200,complete,215,31,eager,215,32,PASS
/products/notice-only,mobile,https://landlordheaven.co.uk/_next/image?url=%2Fimages%2Fbg.webp&w=640&q=75,200,complete,390,260,eager,390,1657,PASS
/products/notice-only,mobile,https://landlordheaven.co.uk/_next/image?url=%2Fimages%2Fnotice_bundles.webp&w=384&q=75,200,complete,370,247,eager,208,138,PASS
/products/notice-only,mobile,https://landlordheaven.co.uk/_next/image?url=%2Fimages%2Fnotice-only-pack.webp&w=640&q=75,200,complete,390,586,eager,308,231,PASS
/products/notice-only,mobile,https://landlordheaven.co.uk/_next/image?url=%2Fimages%2F2-Unsure-Compliance.webp&w=640&q=75,200,complete,390,260,eager,306,191,PASS
/products/notice-only,mobile,https://landlordheaven.co.uk/_next/image?url=%2Fimages%2F3-Need-to-Act.webp&w=640&q=75,200,complete,390,260,eager,306,191,PASS
/products/notice-only,mobile,https://landlordheaven.co.uk/_next/image?url=%2Fimages%2F4-Inherited-Tenancy-Admin.webp&w=640&q=75,200,complete,390,260,eager,306,191,PASS
/products/notice-only,mobile,https://landlordheaven.co.uk/_next/image?url=%2Fimages%2Fnotice.webp&w=48&q=75,200,complete,48,32,eager,46,46,PASS
/products/notice-only,mobile,https://landlordheaven.co.uk/_next/image?url=%2Fimages%2Fexpiry.webp&w=48&q=75,200,complete,48,32,eager,46,46,PASS
/products/notice-only,mobile,https://landlordheaven.co.uk/_next/image?url=%2Fimages%2Fclaim.webp&w=48&q=75,200,complete,48,32,eager,46,46,PASS
/products/notice-only,mobile,https://landlordheaven.co.uk/_next/image?url=%2Fimages%2Fhearing.webp&w=48&q=75,200,complete,48,32,eager,46,46,PASS
/products/notice-only,mobile,https://landlordheaven.co.uk/images/notice-stage-mobile.webp,200,complete,823,1910,eager,390,905,PASS
/products/notice-only,mobile,https://landlordheaven.co.uk/_next/image?url=%2Fimages%2Fsection-8-notice.webp&w=640&q=75,200,complete,390,260,eager,356,223,PASS
/products/notice-only,mobile,https://landlordheaven.co.uk/_next/image?url=%2Fimages%2Fsection-8-court-paperwork.webp&w=640&q=75,200,complete,390,260,eager,356,223,PASS
/products/notice-only,mobile,https://landlordheaven.co.uk/_next/image?url=%2Fimages%2Fthe-court-looks-at-the-notice-first.webp&w=640&q=75,200,complete,390,260,eager,316,198,PASS
/products/notice-only,mobile,https://landlordheaven.co.uk/_next/image?url=%2Fimages%2Farrears-cases-are-only-clear-as-the-paperwork.webp&w=640&q=75,200,complete,390,260,eager,316,198,PASS
/products/notice-only,mobile,https://landlordheaven.co.uk/_next/image?url=%2Fimages%2Fservice-mistakes-undo-good-cases.webp&w=640&q=75,200,complete,390,260,eager,316,198,PASS
/products/notice-only,mobile,https://landlordheaven.co.uk/_next/image?url=%2Fimages%2Fnotice-only-pack.webp&w=640&q=75,200,complete,390,586,eager,316,198,PASS
