route,viewport,width,capture,file,result
/products/notice-only,mobile,390,full-page,screenshots/products-notice-only-mobile-full.png,PASS
/products/notice-only,mobile,390,first-viewport,screenshots/products-notice-only-mobile-first.png,PASS
/products/notice-only,tablet,768,full-page,screenshots/products-notice-only-tablet-full.png,PASS
/products/notice-only,tablet,768,first-viewport,screenshots/products-notice-only-tablet-first.png,PASS
/products/notice-only,desktop,1440,full-page,screenshots/products-notice-only-desktop-full.png,PASS
/products/notice-only,desktop,1440,first-viewport,screenshots/products-notice-only-desktop-first.png,PASS
/products/complete-pack,mobile,390,full-page,screenshots/products-complete-pack-mobile-full.png,PASS
/products/complete-pack,mobile,390,first-viewport,screenshots/products-complete-pack-mobile-first.png,PASS
/products/complete-pack,tablet,768,full-page,screenshots/products-complete-pack-tablet-full.png,PASS
/products/complete-pack,tablet,768,first-viewport,screenshots/products-complete-pack-tablet-first.png,PASS
/products/complete-pack,desktop,1440,full-page,screenshots/products-complete-pack-desktop-full.png,PASS
/products/complete-pack,desktop,1440,first-viewport,screenshots/products-complete-pack-desktop-first.png,PASS
/products/money-claim,mobile,390,full-page,screenshots/products-money-claim-mobile-full.png,PASS
/products/money-claim,mobile,390,first-viewport,screenshots/products-money-claim-mobile-first.png,PASS
/products/money-claim,tablet,768,full-page,screenshots/products-money-claim-tablet-full.png,PASS
/products/money-claim,tablet,768,first-viewport,screenshots/products-money-claim-tablet-first.png,PASS
/products/money-claim,desktop,1440,full-page,screenshots/products-money-claim-desktop-full.png,PASS
/products/money-claim,desktop,1440,first-viewport,screenshots/products-money-claim-desktop-first.png,PASS
/products/ast,mobile,390,full-page,screenshots/products-ast-mobile-full.png,PASS
/products/ast,mobile,390,first-viewport,screenshots/products-ast-mobile-first.png,PASS
/products/ast,tablet,768,full-page,screenshots/products-ast-tablet-full.png,PASS
/products/ast,tablet,768,first-viewport,screenshots/products-ast-tablet-first.png,PASS
/products/ast,desktop,1440,full-page,screenshots/products-ast-desktop-full.png,PASS
/products/ast,desktop,1440,first-viewport,screenshots/products-ast-desktop-first.png,PASS
/products/section-13-standard,mobile,390,full-page,screenshots/products-section-13-standard-mobile-full.png,PASS
/products/section-13-standard,mobile,390,first-viewport,screenshots/products-section-13-standard-mobile-first.png,PASS
/products/section-13-standard,tablet,768,full-page,screenshots/products-section-13-standard-tablet-full.png,PASS
/products/section-13-standard,tablet,768,first-viewport,screenshots/products-section-13-standard-tablet-first.png,PASS
/products/section-13-standard,desktop,1440,full-page,screenshots/products-section-13-standard-desktop-full.png,PASS
/products/section-13-standard,desktop,1440,first-viewport,screenshots/products-section-13-standard-desktop-first.png,PASS
/tools/hmo-license-checker,mobile,390,full-page,screenshots/tools-hmo-license-checker-mobile-full.png,PASS
/tools/hmo-license-checker,mobile,390,first-viewport,screenshots/tools-hmo-license-checker-mobile-first.png,PASS
/tools/hmo-license-checker,tablet,768,full-page,screenshots/tools-hmo-license-checker-tablet-full.png,PASS
