route,largest_vertical_gap_px,gap_location,gap_over_120px,hidden_or_empty_media_height_count,intentional_layout_reason,result
/products/notice-only,198,dd->p,yes,0,Intentional section spacing between populated blocks; no hidden or empty media-height container is present.,PASS
/products/complete-pack,198,dd->p,yes,0,Intentional section spacing between populated blocks; no hidden or empty media-height container is present.,PASS
/products/money-claim,156,iframe->p,yes,0,Intentional section spacing between populated blocks; no hidden or empty media-height container is present.,PASS
/products/ast,179,a->p,yes,0,Intentional section spacing between populated blocks; no hidden or empty media-height container is present.,PASS
/products/section-13-standard,172,p->p,yes,0,Intentional section spacing between populated blocks; no hidden or empty media-height container is present.,PASS
/tools/hmo-license-checker,153,p->h2,yes,0,Intentional section spacing between populated blocks; no hidden or empty media-height container is present.,PASS
/tools/rent-arrears-calculator,156,a->h2,yes,0,Intentional section spacing between populated blocks; no hidden or empty media-height container is present.,PASS
/blog/how-to-write-letter-before-action-unpaid-rent,185,a->h2,yes,0,Intentional section spacing between populated blocks; no hidden or empty media-height container is present.,PASS
/blog/bailiff-eviction-day-what-to-expect,185,a->h2,yes,0,Intentional section spacing between populated blocks; no hidden or empty media-height container is present.,PASS
/eviction-cost-uk,234,a->svg,yes,0,Intentional section spacing between populated blocks; no hidden or empty media-height container is present.,PASS
/how-to-rent-guide,172,a->h2,yes,0,Intentional section spacing between populated blocks; no hidden or empty media-height container is present.,PASS
/n5-n119-possession-claim,151,a->h2,yes,0,Intentional section spacing between populated blocks; no hidden or empty media-height container is present.,PASS
/section-8-grounds/how-to-evict-a-tenant-using-ground-1a,170,a->p,yes,0,Intentional section spacing between populated blocks; no hidden or empty media-height container is present.,PASS
