route_pattern,page_type,primary_intent,primary_cta_target,jurisdiction_scope,indexable,in_sitemap,promise
/,marketing,informational,n/a,UK-wide,no,yes,Landlord Heaven - UK Landlord Legal Documents
/6-month-tenancy-agreement-template,guide,informational,n/a,UK-wide,no,yes,6 Month Tenancy Agreement Template UK 2026 — Short-Term AST | Landlord Heaven
/about,marketing,informational,n/a,UK-wide,no,yes,About Us - Mission & Story | Landlord Heaven
/apply-possession-order-landlord,marketing,informational,n/a,UK-wide,no,yes,Apply for Possession Order | Landlord Court Forms N5B N5 | Landlord Heaven | Landlord Heaven
/ask-heaven,guide,informational,n/a,UK-wide,no,yes,Free Landlord Legal Q&A | UK | Ask Heaven | Landlord Heaven
/ask-heaven/[slug],guide,informational,n/a,England/Wales?,unknown,no,
/assured-shorthold-tenancy-agreement,guide,informational,n/a,UK-wide,no,yes,Assured Shorthold Tenancy Agreement Template 2026 | Legally Compliant AST | Landlord Heaven
/assured-shorthold-tenancy-agreement-template,guide,informational,n/a,UK-wide,no,yes,Assured Shorthold Tenancy Agreement Template 2026 | Legally Compliant AST | Landlord Heaven
/ast-template-england,guide,informational,n/a,England,no,yes,Assured Shorthold Tenancy Agreement Template 2026 | Legally Compliant AST | Landlord Heaven
/ast-tenancy-agreement-template,guide,informational,n/a,UK-wide,no,yes,Assured Shorthold Tenancy Agreement Template 2026 | Legally Compliant AST | Landlord Heaven
/blog,blog,informational,n/a,UK-wide,no,yes,Landlord Guides & Legal Resources | Landlord Heaven
/blog/[slug],blog,informational,n/a,England/Wales?,unknown,no,
/claim-rent-arrears-tenant,guide,informational,n/a,UK-wide,no,yes,Reclaim Rent from a Tenant 2026 | Landlord Money Claim Guide | Landlord Heaven
/common-prt-tenancy-mistakes-scotland,guide,informational,n/a,Scotland,no,yes,
/contact,marketing,informational,n/a,England/Wales?,no,yes,
/cookies,marketing,informational,n/a,England/Wales?,no,yes,
/county-court-claim-form-guide,guide,informational,n/a,England/Wales?,no,yes,
/eicr-landlord-requirements,marketing,informational,n/a,UK-wide,no,yes,
/eviction-cost-uk,guide,informational,n/a,UK-wide,no,yes,
/eviction-notice,guide,informational,n/a,England/Wales?,no,yes,
/eviction-notice-template,guide,informational,n/a,England/Wales?,no,yes,
