sample,phrase,matches,status
scotland-prt-branded-sample.pdf,during whch,0,pass
scotland-prt-branded-sample.pdf,including the your rights,0,pass
scotland-prt-branded-sample.pdf,with written receipt,0,pass
scotland-prt-branded-sample.pdf,rather “the contract-holder’s”,0,pass
scotland-prt-branded-sample.pdf,"a day’s rent,up to",0,pass
scotland-prt-branded-sample.pdf,"emotional and sexual, psychological, emotional",0,pass
scotland-prt-branded-sample.pdf,STAND ARD,0,pass
wales-fixed-branded-sample.pdf,during whch,0,pass
wales-fixed-branded-sample.pdf,including the your rights,0,pass
wales-fixed-branded-sample.pdf,with written receipt,0,pass
wales-fixed-branded-sample.pdf,rather “the contract-holder’s”,0,pass
wales-fixed-branded-sample.pdf,"a day’s rent,up to",0,pass
wales-fixed-branded-sample.pdf,"emotional and sexual, psychological, emotional",0,pass
wales-fixed-branded-sample.pdf,STAND ARD,0,pass
wales-periodic-branded-sample.pdf,during whch,0,pass
wales-periodic-branded-sample.pdf,including the your rights,0,pass
wales-periodic-branded-sample.pdf,with written receipt,0,pass
wales-periodic-branded-sample.pdf,rather “the contract-holder’s”,0,pass
wales-periodic-branded-sample.pdf,"a day’s rent,up to",0,pass
wales-periodic-branded-sample.pdf,"emotional and sexual, psychological, emotional",0,pass
wales-periodic-branded-sample.pdf,STAND ARD,0,pass
northern-ireland-private-tenancy-branded-sample.pdf,during whch,0,pass
northern-ireland-private-tenancy-branded-sample.pdf,including the your rights,0,pass
northern-ireland-private-tenancy-branded-sample.pdf,with written receipt,0,pass
northern-ireland-private-tenancy-branded-sample.pdf,rather “the contract-holder’s”,0,pass
northern-ireland-private-tenancy-branded-sample.pdf,"a day’s rent,up to",0,pass
northern-ireland-private-tenancy-branded-sample.pdf,"emotional and sexual, psychological, emotional",0,pass
northern-ireland-private-tenancy-branded-sample.pdf,STAND ARD,0,pass
