pack,file,defects,status
northern-ireland-private-tenancy-branded-sample-pack,compliance_checklist.pdf,,pass
northern-ireland-private-tenancy-branded-sample-pack,inventory_schedule.pdf,,pass
northern-ireland-private-tenancy-branded-sample-pack,northern_ireland_rent_book.pdf,,pass
northern-ireland-private-tenancy-branded-sample-pack,northern_ireland_tenancy_information_notice.pdf,,pass
northern-ireland-private-tenancy-branded-sample-pack,northern_ireland_tenancy_information_notice_guidance.pdf,,pass
northern-ireland-private-tenancy-branded-sample-pack,tenancy_agreement.pdf,,pass
scotland-prt-branded-sample-pack,compliance_checklist.pdf,,pass
scotland-prt-branded-sample-pack,inventory_schedule.pdf,,pass
scotland-prt-branded-sample-pack,scotland_prt_statutory_terms_supporting_notes_april_2024.pdf,,pass
scotland-prt-branded-sample-pack,tenancy_agreement.pdf,,pass
wales-fixed-branded-sample-pack,compliance_checklist.pdf,,pass
wales-fixed-branded-sample-pack,inventory_schedule.pdf,,pass
wales-fixed-branded-sample-pack,tenancy_agreement.pdf,,pass
wales-periodic-branded-sample-pack,compliance_checklist.pdf,,pass
wales-periodic-branded-sample-pack,inventory_schedule.pdf,,pass
wales-periodic-branded-sample-pack,tenancy_agreement.pdf,,pass
