pack,file,pages,rendered_pages,a4_pages,blank_pages,page_number_hits,official_unmodified_exception,status
northern-ireland-private-tenancy-branded-sample-pack,compliance_checklist.pdf,4,4,4,,4,False,pass
northern-ireland-private-tenancy-branded-sample-pack,inventory_schedule.pdf,9,9,9,,9,False,pass
northern-ireland-private-tenancy-branded-sample-pack,northern_ireland_rent_book.pdf,2,2,2,,2,False,pass
northern-ireland-private-tenancy-branded-sample-pack,northern_ireland_tenancy_information_notice.pdf,6,6,6,,6,False,pass
northern-ireland-private-tenancy-branded-sample-pack,northern_ireland_tenancy_information_notice_guidance.pdf,4,4,4,,0,True,pass
northern-ireland-private-tenancy-branded-sample-pack,tenancy_agreement.pdf,16,16,16,,16,False,pass
scotland-prt-branded-sample-pack,compliance_checklist.pdf,4,4,4,,4,False,pass
scotland-prt-branded-sample-pack,inventory_schedule.pdf,9,9,9,,9,False,pass
scotland-prt-branded-sample-pack,scotland_prt_statutory_terms_supporting_notes_april_2024.pdf,42,42,42,,0,True,pass
scotland-prt-branded-sample-pack,tenancy_agreement.pdf,18,18,18,,18,False,pass
wales-fixed-branded-sample-pack,compliance_checklist.pdf,4,4,4,,4,False,pass
wales-fixed-branded-sample-pack,inventory_schedule.pdf,9,9,9,,9,False,pass
wales-fixed-branded-sample-pack,tenancy_agreement.pdf,26,26,26,,26,False,pass
wales-periodic-branded-sample-pack,compliance_checklist.pdf,4,4,4,,4,False,pass
wales-periodic-branded-sample-pack,inventory_schedule.pdf,9,9,9,,9,False,pass
wales-periodic-branded-sample-pack,tenancy_agreement.pdf,31,31,31,,31,False,pass
